1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HOLY UNICORN,H T Mo,K H Ting,123,1030,3,-,1 1 2 1 1,1:48.43,3.8,
2,6,MI BLANCO,O Murphy,P O'Sullivan,120,1118,8,2-1/2,6 5 4 4 2,1:48.84,9.5,
3,8,LITTLE FANTASY,C Y Ho,K L Man,116,1226,4,2-1/2,2 2 5 2 3,1:48.85,4.5,
4,5,PROUD SKY,C Schofield,L Ho,122,1054,1,3-1/2,4 3 3 3 4,1:49.00,7.5,
5,7,SWEET BEAN,Z Purton,C Fownes,120,1022,5,5-3/4,9 9 1 5 5,1:49.33,6.7,
6,4,TRIUMPHAL WIN,S Clipperton,C W Chang,127,1255,9,6-1/2,5 7 8 8 6,1:49.48,18,
7,9,TRIUMPH,K C Leung,C W Chang,117,1135,6,6-3/4,7 6 7 6 7,1:49.49,22,
8,1,PEARL FURU,N Callan,P O'Sullivan,133,1200,2,9,3 4 6 7 8,1:49.87,10,
9,2,TOP ACE,C Murray,A T Millard,133,1160,7,13-1/4,8 8 9 9 9,1:50.55,6.6,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HOLY UNICORN,H T Mo,K H Ting,123,1030,3,-,1 1 2 1 1,1:48.43,3.8,
2,6,MI BLANCO,O Murphy,P O'Sullivan,120,1118,8,2-1/2,6 5 4 4 2,1:48.84,9.5,
3,8,LITTLE FANTASY,C Y Ho,K L Man,116,1226,4,2-1/2,2 2 5 2 3,1:48.85,4.5,
4,5,PROUD SKY,C Schofield,L Ho,122,1054,1,3-1/2,4 3 3 3 4,1:49.00,7.5,
5,7,SWEET BEAN,Z Purton,C Fownes,120,1022,5,5-3/4,9 9 1 5 5,1:49.33,6.7,
6,4,TRIUMPHAL WIN,S Clipperton,C W Chang,127,1255,9,6-1/2,5 7 8 8 6,1:49.48,18,
7,9,TRIUMPH,K C Leung,C W Chang,117,1135,6,6-3/4,7 6 7 6 7,1:49.49,22,
8,1,PEARL FURU,N Callan,P O'Sullivan,133,1200,2,9,3 4 6 7 8,1:49.87,10,
