1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,GORGEOUS AGAIN,J Moreira,C S Shum,129,1085,2,-,5 5 5 1 1,2:01.56,1.7,
2,2,BEST EFFORT,C Y Ho,C Fownes,133,961,3,3-1/2,2 2 2 2 2,2:02.12,16,
3,9,ROMANTIC JOURNEY,K C Leung,C W Chang,118,1084,7,3-3/4,8 8 8 7 3,2:02.17,30,
4,8,PROUD SKY,M Harley,L Ho,124,1053,4,3-3/4,6 6 6 5 4,2:02.18,20,
5,10,CELEBRATION,M Chadwick,K H Ting,113,1022,9,4,9 9 9 8 5,2:02.19,14,
6,4,WICKER,G van Niekerk,R Gibson,131,1129,6,6-1/4,7 7 7 10 6,2:02.57,31,
7,1,ABOVE,N Callan,J Moore,133,1016,5,6-1/2,3 3 3 4 7,2:02.61,14,
8,5,CHATER THUNDER,M L Yeung,D E Ferraris,128,1008,11,8-1/2,10 10 10 9 8,2:02.91,105,
9,3,DRAGON WARRIOR,Z Purton,K H Ting,132,1194,8,10-1/2,1 1 1 3 9,2:03.24,4.9,
10,7,YOUNG GLORY,K Teetan,D E Ferraris,128,1209,10,11,11 11 11 11 10,2:03.33,9.6,
11,11,ROCKET GO,H T Mo,K L Man,110,1175,1,22,4 4 4 6 11,2:05.09,69,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,GORGEOUS AGAIN,J Moreira,C S Shum,129,1085,2,-,5 5 5 1 1,2:01.56,1.7,
2,2,BEST EFFORT,C Y Ho,C Fownes,133,961,3,3-1/2,2 2 2 2 2,2:02.12,16,
3,9,ROMANTIC JOURNEY,K C Leung,C W Chang,118,1084,7,3-3/4,8 8 8 7 3,2:02.17,30,
4,8,PROUD SKY,M Harley,L Ho,124,1053,4,3-3/4,6 6 6 5 4,2:02.18,20,
5,10,CELEBRATION,M Chadwick,K H Ting,113,1022,9,4,9 9 9 8 5,2:02.19,14,
