1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,13,RUMINARE,G van Niekerk,R Gibson,114,1133,8,-,1 1 1 1,1:23.23,30,
2,1,FLYING NOBLE,S de Sousa,C H Yip,133,1150,5,1-1/4,6 5 4 2,1:23.41,5.7,
3,2,THE SYLPH,K Teetan,D E Ferraris,131,1010,4,1-1/4,10 9 8 3,1:23.45,42,
4,7,ADONIS,T H So,L Ho,125,1033,7,1-1/2,8 8 6 4,1:23.48,12,
5,9,WONDERFUL TIGER,U Rispoli,W Y So,126,1084,3,2-1/2,11 6 7 5,1:23.61,21,
6,8,RUN MOOCHI,J Moreira,K L Man,127,1074,2,2-1/2,2 2 2 6,1:23.61,4.9,
7,14,GOBI STORM,M Chadwick,T P Yung,113,1159,11,3-1/2,9 11 9 7,1:23.81,56,
8,12,AMBITIOUS SPEEDY,A Sanna,Y S Tsui,121,1205,10,3-1/2,12 12 10 8,1:23.81,13,
9,6,ROYAL PREROGATIVE,R Bayliss,A T Millard,128,1064,1,3-3/4,4 3 3 9,1:23.84,9.2,
10,4,SUREWIN,K C Leung,C W Chang,129,1227,13,4,14 14 14 10,1:23.86,101,
11,3,BIG BULLY,C Y Ho,D J Hall,128,1115,12,5-1/4,13 13 12 11,1:24.06,27,
12,5,WINNING CIRCLE,N Callan,J Moore,129,1106,9,6-1/2,5 7 11 12,1:24.27,11,
13,10,BEST EFFORT,M Harley,C Fownes,124,992,14,7,7 10 13 13,1:24.35,11,
14,11,TRIUMPHANT LIGHT,Z Purton,P O'Sullivan,124,1074,6,11-1/4,3 4 5 14,1:25.05,4.3,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,13,RUMINARE,G van Niekerk,R Gibson,114,1133,8,-,1 1 1 1,1:23.23,30,
2,1,FLYING NOBLE,S de Sousa,C H Yip,133,1150,5,1-1/4,6 5 4 2,1:23.41,5.7,
3,2,THE SYLPH,K Teetan,D E Ferraris,131,1010,4,1-1/4,10 9 8 3,1:23.45,42,
4,7,ADONIS,T H So,L Ho,125,1033,7,1-1/2,8 8 6 4,1:23.48,12,
5,9,WONDERFUL TIGER,U Rispoli,W Y So,126,1084,3,2-1/2,11 6 7 5,1:23.61,21,
6,8,RUN MOOCHI,J Moreira,K L Man,127,1074,2,2-1/2,2 2 2 6,1:23.61,4.9,
7,14,GOBI STORM,M Chadwick,T P Yung,113,1159,11,3-1/2,9 11 9 7,1:23.81,56,
8,12,AMBITIOUS SPEEDY,A Sanna,Y S Tsui,121,1205,10,3-1/2,12 12 10 8,1:23.81,13,
9,6,ROYAL PREROGATIVE,R Bayliss,A T Millard,128,1064,1,3-3/4,4 3 3 9,1:23.84,9.2,
10,4,SUREWIN,K C Leung,C W Chang,129,1227,13,4,14 14 14 10,1:23.86,101,
11,3,BIG BULLY,C Y Ho,D J Hall,128,1115,12,5-1/4,13 13 12 11,1:24.06,27,
12,5,WINNING CIRCLE,N Callan,J Moore,129,1106,9,6-1/2,5 7 11 12,1:24.27,11,
13,10,BEST EFFORT,M Harley,C Fownes,124,992,14,7,7 10 13 13,1:24.35,11,
14,11,TRIUMPHANT LIGHT,Z Purton,P O'Sullivan,124,1074,6,11-1/4,3 4 5 14,1:25.05,4.3,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,13,RUMINARE,G van Niekerk,R Gibson,114,1133,8,-,1 1 1 1,1:23.23,30,
2,1,FLYING NOBLE,S de Sousa,C H Yip,133,1150,5,1-1/4,6 5 4 2,1:23.41,5.7,
3,2,THE SYLPH,K Teetan,D E Ferraris,131,1010,4,1-1/4,10 9 8 3,1:23.45,42,
4,7,ADONIS,T H So,L Ho,125,1033,7,1-1/2,8 8 6 4,1:23.48,12,
5,9,WONDERFUL TIGER,U Rispoli,W Y So,126,1084,3,2-1/2,11 6 7 5,1:23.61,21,
6,8,RUN MOOCHI,J Moreira,K L Man,127,1074,2,2-1/2,2 2 2 6,1:23.61,4.9,
7,14,GOBI STORM,M Chadwick,T P Yung,113,1159,11,3-1/2,9 11 9 7,1:23.81,56,
8,12,AMBITIOUS SPEEDY,A Sanna,Y S Tsui,121,1205,10,3-1/2,12 12 10 8,1:23.81,13,
9,6,ROYAL PREROGATIVE,R Bayliss,A T Millard,128,1064,1,3-3/4,4 3 3 9,1:23.84,9.2,
