1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
5,1,SUPER STAR,K Teetan,A T Millard,133,1021,11,2,12 8 5,1:10.00,5,
6,9,SEIZE THE SPIRIT,C Wong,Y S Tsui,118,1101,1,2-1/4,6 7 6,1:10.03,81,
7,2,KING MORTAR,H T Mo,L Ho,127,1118,7,2-1/2,7 6 7,1:10.07,40,
8,3,REGENCY DARLING,M Chadwick,K L Man,131,1274,8,2-1/2,4 3 8,1:10.09,10,
9,7,VIRTUS STAR,C Schofield,D J Hall,127,1068,3,3,11 11 9,1:10.16,88,
10,4,BRAVE BABY,Z Purton,A S Cruz,127,1076,5,3-1/4,3 4 10,1:10.17,9.7,
11,8,WAYFOONG CHARMER,K C Leung,P O'Sullivan,127,1114,13,3-1/4,2 2 11,1:10.18,65,
12,10,KA YING BRILLIANCE,M L Yeung,T P Yung,122,1168,4,4-1/2,8 9 12,1:10.40,16,
13,13,COURT RULER,G van Niekerk,W Y So,116,1084,9,9,10 13 13,1:11.13,90,
PU,6,KING OF THE NORTH,C Murray,C H Yip,127,1293,6,---,14,---,150,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,5,CHARIZARD,U Rispoli,D E Ferraris,127,999,14,-,13 12 1,1:09.67,4.8,
2,11,ALPHA HEDGE,C Y Ho,K W Lui,118,1185,2,1/2,5 5 2,1:09.78,4.7,
3,14,SUPER EURO STAR,W M Lai,C W Chang,115,1088,12,1-1/2,1 1 3,1:09.94,13,
4,12,HAPPY WARRIOR,D Whyte,J Moore,119,1104,10,2,9 10 4,1:09.99,5.5,
