1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,6,AMAZING AGILITY,J Moreira,L Ho,124,980,4,-,5 5 5 8 1,2:05.80,5.2,
2,2,YOU HAVE MY WORD,S de Sousa,T P Yung,133,1155,5,1-1/4,7 7 7 7 2,2:05.95,9.3,
3,3,BRING IT ON,H Bowman,C H Yip,132,1151,3,1-1/4,4 4 4 5 3,2:05.98,3.8,
4,7,LE PANACHE,D Whyte,W Y So,118,1101,7,1-1/4,6 6 6 2 4,2:05.99,4.1,
5,5,TAI SMART,C Y Ho,F C Lor,124,1239,6,1-3/4,8 8 8 1 5,2:06.06,6.7,
6,4,GOOD DAYS,P-C Boudot,C S Shum,126,1114,8,2-1/2,2 2 2 4 6,2:06.20,6.7,
7,8,ROMANTIC JOURNEY,K Teetan,C W Chang,114,1070,1,2-3/4,3 3 3 6 7,2:06.24,27,
8,1,SALTO OLIMPICO,K C Leung,D J Hall,133,1114,2,3,1 1 1 3 8,2:06.27,12,
