1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,4,FLYING NOBLE,Z Purton,C H Yip,127,1176,4,-,5 7 6 1,1:23.13,3.4,
2,6,NEVER BETTER,S de Sousa,P O'Sullivan,126,1180,10,1-1/4,13 13 13 2,1:23.32,9.7,
3,7,BEST EFFORT,M Harley,C Fownes,124,990,5,1-1/2,7 6 2 3,1:23.36,23,
4,10,XIANG HUANG QI,M F Poon,K L Man,113,1186,2,2,3 3 4 4,1:23.44,25,
5,11,SUNNY ORIENT,M L Yeung,T P Yung,113,1149,7,2-1/2,12 12 12 5,1:23.51,4.5,
6,12,BONITO,H T Mo,L Ho,109,1140,1,3-1/4,9 10 8 6,1:23.63,14,
7,9,VICTOR EMPEROR,C Schofield,C H Yip,117,1140,6,4,11 11 10 7,1:23.75,11,
8,3,BIG BULLY,C Y Ho,D J Hall,130,1117,8,7-1/2,8 9 9 8,1:24.31,29,
9,13,PADDINGTON,R Bayliss,W Y So,116,1126,14,7-1/2,1 1 1 9,1:24.33,52,
10,14,HAPPY OUT THERE,H N Wong,C W Chang,112,1097,3,7-3/4,2 4 5 10,1:24.39,68,
11,1,BINGO HERO,K Teetan,Y S Tsui,133,1269,9,9,6 5 7 11,1:24.58,5.9,
12,8,INVESTOR BOOM,A Sanna,J Moore,124,1185,13,9-3/4,4 2 3 12,1:24.68,41,
13,2,DARING HEART,M Chadwick,D E Ferraris,133,1056,12,16,14 14 14 13,1:25.70,17,
14,5,BEST GIFT,N Callan,P F Yiu,126,1014,11,20,10 8 11 14,1:26.31,27,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,4,FLYING NOBLE,Z Purton,C H Yip,127,1176,4,-,5 7 6 1,1:23.13,3.4,
2,6,NEVER BETTER,S de Sousa,P O'Sullivan,126,1180,10,1-1/4,13 13 13 2,1:23.32,9.7,
3,7,BEST EFFORT,M Harley,C Fownes,124,990,5,1-1/2,7 6 2 3,1:23.36,23,
4,10,XIANG HUANG QI,M F Poon,K L Man,113,1186,2,2,3 3 4 4,1:23.44,25,
5,11,SUNNY ORIENT,M L Yeung,T P Yung,113,1149,7,2-1/2,12 12 12 5,1:23.51,4.5,
6,12,BONITO,H T Mo,L Ho,109,1140,1,3-1/4,9 10 8 6,1:23.63,14,
7,9,VICTOR EMPEROR,C Schofield,C H Yip,117,1140,6,4,11 11 10 7,1:23.75,11,
8,3,BIG BULLY,C Y Ho,D J Hall,130,1117,8,7-1/2,8 9 9 8,1:24.31,29,
9,13,PADDINGTON,R Bayliss,W Y So,116,1126,14,7-1/2,1 1 1 9,1:24.33,52,
10,14,HAPPY OUT THERE,H N Wong,C W Chang,112,1097,3,7-3/4,2 4 5 10,1:24.39,68,
11,1,BINGO HERO,K Teetan,Y S Tsui,133,1269,9,9,6 5 7 11,1:24.58,5.9,
12,8,INVESTOR BOOM,A Sanna,J Moore,124,1185,13,9-3/4,4 2 3 12,1:24.68,41,
13,2,DARING HEART,M Chadwick,D E Ferraris,133,1056,12,16,14 14 14 13,1:25.70,17,
14,5,BEST GIFT,N Callan,P F Yiu,126,1014,11,20,10 8 11 14,1:26.31,27,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,4,FLYING NOBLE,Z Purton,C H Yip,127,1176,4,-,5 7 6 1,1:23.13,3.4,
2,6,NEVER BETTER,S de Sousa,P O'Sullivan,126,1180,10,1-1/4,13 13 13 2,1:23.32,9.7,
3,7,BEST EFFORT,M Harley,C Fownes,124,990,5,1-1/2,7 6 2 3,1:23.36,23,
4,10,XIANG HUANG QI,M F Poon,K L Man,113,1186,2,2,3 3 4 4,1:23.44,25,
5,11,SUNNY ORIENT,M L Yeung,T P Yung,113,1149,7,2-1/2,12 12 12 5,1:23.51,4.5,
