1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,NICE FANDANGO,G van Niekerk,C Fownes,133,1084,14,-,1 1 1,1:09.57,14,
2,1,MULTIMAX,K H Chan,A S Cruz,123,1163,8,3/4,2 2 2,1:09.69,4.5,
3,5,STARLOT,K C Leung,P O'Sullivan,127,1181,11,1-1/2,10 8 3,1:09.79,17,
4,4,YEE CHEONG LUCKY,C Y Ho,D J Hall,130,1087,3,1-1/2,6 6 4,1:09.81,12,
5,8,ADONIS,T H So,L Ho,123,1064,13,2,12 12 5,1:09.89,6.2,
6,14,COUR VALANT,M F Poon,K L Man,111,1068,10,2-1/4,14 10 6,1:09.92,60,
7,13,SUNNY ORIENT,M L Yeung,T P Yung,113,1134,7,4,9 11 7,1:10.20,21,
8,6,EXPONENTS,H N Wong,Y S Tsui,123,1113,6,5-3/4,3 5 8,1:10.48,12,
9,7,SHOW MISSION,N Callan,C W Chang,126,1112,1,6-1/2,5 3 9,1:10.63,17,
10,12,NASHASHUK,J Moreira,J Size,117,1087,5,8-3/4,7 7 10,1:10.96,17,
11,3,SOCCER MASTER,A Sanna,D E Ferraris,132,1113,12,10,11 14 11,1:11.16,11,
12,9,OTOUTO,M Chadwick,A T Millard,123,1066,9,12-1/2,13 13 12,1:11.55,40,
13,10,PERFECT CHOICE,C Schofield,R Gibson,121,1135,4,12-3/4,4 4 13,1:11.61,27,
14,11,WINNING CIRCLE,Z Purton,J Moore,120,1128,2,23,8 9 14,1:13.25,4.6,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,NICE FANDANGO,G van Niekerk,C Fownes,133,1084,14,-,1 1 1,1:09.57,14,
2,1,MULTIMAX,K H Chan,A S Cruz,123,1163,8,3/4,2 2 2,1:09.69,4.5,
3,5,STARLOT,K C Leung,P O'Sullivan,127,1181,11,1-1/2,10 8 3,1:09.79,17,
4,4,YEE CHEONG LUCKY,C Y Ho,D J Hall,130,1087,3,1-1/2,6 6 4,1:09.81,12,
5,8,ADONIS,T H So,L Ho,123,1064,13,2,12 12 5,1:09.89,6.2,
6,14,COUR VALANT,M F Poon,K L Man,111,1068,10,2-1/4,14 10 6,1:09.92,60,
7,13,SUNNY ORIENT,M L Yeung,T P Yung,113,1134,7,4,9 11 7,1:10.20,21,
8,6,EXPONENTS,H N Wong,Y S Tsui,123,1113,6,5-3/4,3 5 8,1:10.48,12,
9,7,SHOW MISSION,N Callan,C W Chang,126,1112,1,6-1/2,5 3 9,1:10.63,17,
10,12,NASHASHUK,J Moreira,J Size,117,1087,5,8-3/4,7 7 10,1:10.96,17,
11,3,SOCCER MASTER,A Sanna,D E Ferraris,132,1113,12,10,11 14 11,1:11.16,11,
12,9,OTOUTO,M Chadwick,A T Millard,123,1066,9,12-1/2,13 13 12,1:11.55,40,
13,10,PERFECT CHOICE,C Schofield,R Gibson,121,1135,4,12-3/4,4 4 13,1:11.61,27,
14,11,WINNING CIRCLE,Z Purton,J Moore,120,1128,2,23,8 9 14,1:13.25,4.6,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,NICE FANDANGO,G van Niekerk,C Fownes,133,1084,14,-,1 1 1,1:09.57,14,
2,1,MULTIMAX,K H Chan,A S Cruz,123,1163,8,3/4,2 2 2,1:09.69,4.5,
3,5,STARLOT,K C Leung,P O'Sullivan,127,1181,11,1-1/2,10 8 3,1:09.79,17,
4,4,YEE CHEONG LUCKY,C Y Ho,D J Hall,130,1087,3,1-1/2,6 6 4,1:09.81,12,
5,8,ADONIS,T H So,L Ho,123,1064,13,2,12 12 5,1:09.89,6.2,
6,14,COUR VALANT,M F Poon,K L Man,111,1068,10,2-1/4,14 10 6,1:09.92,60,
7,13,SUNNY ORIENT,M L Yeung,T P Yung,113,1134,7,4,9 11 7,1:10.20,21,
8,6,EXPONENTS,H N Wong,Y S Tsui,123,1113,6,5-3/4,3 5 8,1:10.48,12,
9,7,SHOW MISSION,N Callan,C W Chang,126,1112,1,6-1/2,5 3 9,1:10.63,17,
10,12,NASHASHUK,J Moreira,J Size,117,1087,5,8-3/4,7 7 10,1:10.96,17,
