1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,MONICA,J McDonald,J Moore,125,1033,6,-,10 10 10 1,1:22.07,7.8,
2,1,LOOKING GOOD,H Bowman,F C Lor,131,1182,1,1/2,3 4 2 2,1:22.14,9.8,
3,2,BIG FORTUNE,C Wong,L Ho,124,1048,5,1-1/2,1 1 1 3,1:22.30,16,
4,3,RELENTLESS ME,C Schofield,W Y So,129,1157,4,3,2 3 3 4,1:22.55,6,
5,6,VICTORY POWER,N Callan,R Gibson,127,1111,2,4,7 7 4 5,1:22.70,7.1,
6,11,MY WINNER,K Teetan,P F Yiu,121,1131,8,4-1/4,4 5 7 6,1:22.75,9.3,
7,4,THE ONE,M Harley,Y S Tsui,129,1167,3,4-3/4,5 6 6 7,1:22.84,64,
8,7,HAPPY ALUMNI,Z Purton,K W Lui,126,1213,11,5-1/2,11 13 9 8,1:22.94,4.1,
9,10,STORM SOLDIER,K C Leung,C W Chang,122,1182,9,6,13 11 8 9,1:23.04,132,
10,5,DIAMOND BRILLIANT,R Bayliss,T P Yung,127,1175,14,6,12 12 13 10,1:23.05,5.4,
11,13,SOLAR BILLION,M F Poon,K L Man,118,1130,7,7-3/4,9 9 11 11,1:23.31,138,
12,9,WONDERFUL DAY,T Clark,C H Yip,123,1085,10,9-1/2,8 8 12 12,1:23.59,122,
13,12,SKY GEM,G van Niekerk,C Fownes,121,1160,13,12-1/2,6 2 5 13,1:24.07,174,
14,14,INTREPIC,C Y Ho,D J Hall,118,999,12,13-3/4,14 14 14 14,1:24.26,24,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,MONICA,J McDonald,J Moore,125,1033,6,-,10 10 10 1,1:22.07,7.8,
2,1,LOOKING GOOD,H Bowman,F C Lor,131,1182,1,1/2,3 4 2 2,1:22.14,9.8,
3,2,BIG FORTUNE,C Wong,L Ho,124,1048,5,1-1/2,1 1 1 3,1:22.30,16,
4,3,RELENTLESS ME,C Schofield,W Y So,129,1157,4,3,2 3 3 4,1:22.55,6,
5,6,VICTORY POWER,N Callan,R Gibson,127,1111,2,4,7 7 4 5,1:22.70,7.1,
6,11,MY WINNER,K Teetan,P F Yiu,121,1131,8,4-1/4,4 5 7 6,1:22.75,9.3,
7,4,THE ONE,M Harley,Y S Tsui,129,1167,3,4-3/4,5 6 6 7,1:22.84,64,
8,7,HAPPY ALUMNI,Z Purton,K W Lui,126,1213,11,5-1/2,11 13 9 8,1:22.94,4.1,
9,10,STORM SOLDIER,K C Leung,C W Chang,122,1182,9,6,13 11 8 9,1:23.04,132,
10,5,DIAMOND BRILLIANT,R Bayliss,T P Yung,127,1175,14,6,12 12 13 10,1:23.05,5.4,
11,13,SOLAR BILLION,M F Poon,K L Man,118,1130,7,7-3/4,9 9 11 11,1:23.31,138,
12,9,WONDERFUL DAY,T Clark,C H Yip,123,1085,10,9-1/2,8 8 12 12,1:23.59,122,
13,12,SKY GEM,G van Niekerk,C Fownes,121,1160,13,12-1/2,6 2 5 13,1:24.07,174,
14,14,INTREPIC,C Y Ho,D J Hall,118,999,12,13-3/4,14 14 14 14,1:24.26,24,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,MONICA,J McDonald,J Moore,125,1033,6,-,10 10 10 1,1:22.07,7.8,
2,1,LOOKING GOOD,H Bowman,F C Lor,131,1182,1,1/2,3 4 2 2,1:22.14,9.8,
3,2,BIG FORTUNE,C Wong,L Ho,124,1048,5,1-1/2,1 1 1 3,1:22.30,16,
4,3,RELENTLESS ME,C Schofield,W Y So,129,1157,4,3,2 3 3 4,1:22.55,6,
5,6,VICTORY POWER,N Callan,R Gibson,127,1111,2,4,7 7 4 5,1:22.70,7.1,
6,11,MY WINNER,K Teetan,P F Yiu,121,1131,8,4-1/4,4 5 7 6,1:22.75,9.3,
7,4,THE ONE,M Harley,Y S Tsui,129,1167,3,4-3/4,5 6 6 7,1:22.84,64,
8,7,HAPPY ALUMNI,Z Purton,K W Lui,126,1213,11,5-1/2,11 13 9 8,1:22.94,4.1,
9,10,STORM SOLDIER,K C Leung,C W Chang,122,1182,9,6,13 11 8 9,1:23.04,132,
10,5,DIAMOND BRILLIANT,R Bayliss,T P Yung,127,1175,14,6,12 12 13 10,1:23.05,5.4,
11,13,SOLAR BILLION,M F Poon,K L Man,118,1130,7,7-3/4,9 9 11 11,1:23.31,138,
12,9,WONDERFUL DAY,T Clark,C H Yip,123,1085,10,9-1/2,8 8 12 12,1:23.59,122,
13,12,SKY GEM,G van Niekerk,C Fownes,121,1160,13,12-1/2,6 2 5 13,1:24.07,174,
14,14,INTREPIC,C Y Ho,D J Hall,118,999,12,13-3/4,14 14 14 14,1:24.26,24,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,8,MONICA,J McDonald,J Moore,125,1033,6,-,10 10 10 1,1:22.07,7.8,
2,1,LOOKING GOOD,H Bowman,F C Lor,131,1182,1,1/2,3 4 2 2,1:22.14,9.8,
3,2,BIG FORTUNE,C Wong,L Ho,124,1048,5,1-1/2,1 1 1 3,1:22.30,16,
4,3,RELENTLESS ME,C Schofield,W Y So,129,1157,4,3,2 3 3 4,1:22.55,6,
5,6,VICTORY POWER,N Callan,R Gibson,127,1111,2,4,7 7 4 5,1:22.70,7.1,
6,11,MY WINNER,K Teetan,P F Yiu,121,1131,8,4-1/4,4 5 7 6,1:22.75,9.3,
7,4,THE ONE,M Harley,Y S Tsui,129,1167,3,4-3/4,5 6 6 7,1:22.84,64,
