1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,MULTIMILLION,K Teetan,A S Cruz,129,1154,13,-,1 1 1,0:57.73,2.3,
2,10,WHAT A LEGEND,M L Yeung,K H Ting,125,1055,5,1/2,12 10 2,0:57.81,11,
3,13,LUCKY LUCKY,H T Mo,C S Shum,116,1192,4,1-3/4,3 2 3,0:57.99,22,
4,8,JIMSON THE DRAGON,U Rispoli,C H Yip,127,1022,7,1-3/4,7 7 4,0:58.00,41,
5,1,JOY MASTER,S Clipperton,C Fownes,133,1057,11,2,14 13 5,0:58.05,115,
6,11,LIGHTNING TREASURE,T Angland,P F Yiu,125,1216,6,2-1/2,9 9 6,0:58.14,14,
7,3,BESTA LUCK,M Chadwick,R Gibson,127,1198,12,3,5 5 7,0:58.20,7.3,
8,4,BUMBLE BABY,D Whyte,J Moore,127,1152,2,3-1/4,4 3 8,0:58.24,10,
9,14,STAR SUPERIOR,W M Lai,C W Chang,117,1072,3,4,11 12 9,0:58.39,149,
10,5,COURAGEOUS DRAGON,K C Leung,W Y So,127,1168,10,4-1/4,10 8 10,0:58.43,28,
11,7,GUERDON HELMET,A Badel,D E Ferraris,127,1049,8,8-1/4,8 11 11,0:59.07,98,
12,9,PEGASUS ELITE,C Murray,K W Lui,127,1103,9,8-1/4,13 14 12,0:59.07,193,
13,6,EXCEL DELIGHT,Z Purton,J Size,127,1081,14,9-1/2,6 6 13,0:59.26,4.1,
14,12,VERY SWEET ORANGE,H N Wong,Y S Tsui,120,1125,1,11-1/2,2 4 14,0:59.55,51,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,2,MULTIMILLION,K Teetan,A S Cruz,129,1154,13,-,1 1 1,0:57.73,2.3,
2,10,WHAT A LEGEND,M L Yeung,K H Ting,125,1055,5,1/2,12 10 2,0:57.81,11,
