1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,7,AETHERO,Z Purton,J Moore,127,1227,3,-,1 1 1,1:10.11,1,
2,2,FARHH ABOVE,C Y Ho,K W Lui,129,1062,6,3-1/4,9 7 2,1:10.61,76,
3,9,JUDY'S STAR,J Moreira,P O'Sullivan,120,1133,5,3-1/4,5 4 3,1:10.62,9.9,
4,3,SHADOW BREAKER,K H Chan,C W Chang,119,1006,7,5-1/2,6 5 4,1:11.00,41,
5,4,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1167,8,8-3/4,10 9 5,1:11.53,58,
6,10,U W BROTHER,K C Leung,Y S Tsui,120,1118,2,9-3/4,3 3 6,1:11.66,49,
7,5,TARGET FINDER,N Callan,C W Chang,129,1052,9,17,4 6 7,1:12.82,46,
8,6,UNEXPECTED,M L Yeung,T P Yung,127,1109,1,19-1/4,7 8 8,1:13.21,94,
9,8,JOY AVENUE,G van Niekerk,C H Yip,120,1172,10,20-1/2,2 2 9,1:13.39,25,
10,1,COPARTNER,R Bayliss,W Y So,129,1014,4,23-1/2,8 10 10,1:13.86,87,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,7,AETHERO,Z Purton,J Moore,127,1227,3,-,1 1 1,1:10.11,1,
2,2,FARHH ABOVE,C Y Ho,K W Lui,129,1062,6,3-1/4,9 7 2,1:10.61,76,
3,9,JUDY'S STAR,J Moreira,P O'Sullivan,120,1133,5,3-1/4,5 4 3,1:10.62,9.9,
4,3,SHADOW BREAKER,K H Chan,C W Chang,119,1006,7,5-1/2,6 5 4,1:11.00,41,
5,4,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1167,8,8-3/4,10 9 5,1:11.53,58,
6,10,U W BROTHER,K C Leung,Y S Tsui,120,1118,2,9-3/4,3 3 6,1:11.66,49,
7,5,TARGET FINDER,N Callan,C W Chang,129,1052,9,17,4 6 7,1:12.82,46,
8,6,UNEXPECTED,M L Yeung,T P Yung,127,1109,1,19-1/4,7 8 8,1:13.21,94,
9,8,JOY AVENUE,G van Niekerk,C H Yip,120,1172,10,20-1/2,2 2 9,1:13.39,25,
10,1,COPARTNER,R Bayliss,W Y So,129,1014,4,23-1/2,8 10 10,1:13.86,87,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,7,AETHERO,Z Purton,J Moore,127,1227,3,-,1 1 1,1:10.11,1,
2,2,FARHH ABOVE,C Y Ho,K W Lui,129,1062,6,3-1/4,9 7 2,1:10.61,76,
3,9,JUDY'S STAR,J Moreira,P O'Sullivan,120,1133,5,3-1/4,5 4 3,1:10.62,9.9,
4,3,SHADOW BREAKER,K H Chan,C W Chang,119,1006,7,5-1/2,6 5 4,1:11.00,41,
5,4,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1167,8,8-3/4,10 9 5,1:11.53,58,
6,10,U W BROTHER,K C Leung,Y S Tsui,120,1118,2,9-3/4,3 3 6,1:11.66,49,
7,5,TARGET FINDER,N Callan,C W Chang,129,1052,9,17,4 6 7,1:12.82,46,
8,6,UNEXPECTED,M L Yeung,T P Yung,127,1109,1,19-1/4,7 8 8,1:13.21,94,
9,8,JOY AVENUE,G van Niekerk,C H Yip,120,1172,10,20-1/2,2 2 9,1:13.39,25,
10,1,COPARTNER,R Bayliss,W Y So,129,1014,4,23-1/2,8 10 10,1:13.86,87,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,7,AETHERO,Z Purton,J Moore,127,1227,3,-,1 1 1,1:10.11,1,
2,2,FARHH ABOVE,C Y Ho,K W Lui,129,1062,6,3-1/4,9 7 2,1:10.61,76,
3,9,JUDY'S STAR,J Moreira,P O'Sullivan,120,1133,5,3-1/4,5 4 3,1:10.62,9.9,
4,3,SHADOW BREAKER,K H Chan,C W Chang,119,1006,7,5-1/2,6 5 4,1:11.00,41,
5,4,SPARKLING KNIGHT,C Schofield,Y S Tsui,129,1167,8,8-3/4,10 9 5,1:11.53,58,
