1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,1,MANFUL STAR,U Rispoli,P F Yiu,133,1134,1,-,11 10 1,0:58.22,6.1,
2,9,PADDINGTON,A Badel,W Y So,116,1126,10,1-1/2,4 4 2,0:58.48,9.7,
3,5,MASSIVE MOVE,H T Mo,L Ho,124,1090,6,2,9 8 3,0:58.56,19,
4,10,RUGBY DIAMOND,M Chadwick,R Gibson,116,1068,2,2-1/4,6 3 4,0:58.58,24,
5,4,HAPPY SOUND,C Wong,C Fownes,122,1164,5,2-3/4,2 2 5,0:58.68,5.2,
6,2,HONG KONG'S FOLKS,C Schofield,C W Chang,130,1147,9,3-1/2,5 6 6,0:58.78,33,
7,3,KEEP GOING,M F Poon,Y S Tsui,127,1038,8,3-3/4,10 11 7,0:58.82,22,
8,6,SURE SUPREME,M L Yeung,W Y So,122,1091,3,4,8 9 8,0:58.87,70,
9,11,FIRST BEAUT,J Moreira,K W Lui,115,1131,7,4-1/4,1 1 9,0:58.90,2.9,
10,8,HAPPY OUT THERE,K Teetan,C W Chang,116,1102,4,5-1/4,7 7 10,0:59.08,12,
11,7,TRENDIFUL,K C Leung,K H Ting,124,1149,11,12-1/4,3 5 11,1:00.20,6.4,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,1,MANFUL STAR,U Rispoli,P F Yiu,133,1134,1,-,11 10 1,0:58.22,6.1,
2,9,PADDINGTON,A Badel,W Y So,116,1126,10,1-1/2,4 4 2,0:58.48,9.7,
3,5,MASSIVE MOVE,H T Mo,L Ho,124,1090,6,2,9 8 3,0:58.56,19,
4,10,RUGBY DIAMOND,M Chadwick,R Gibson,116,1068,2,2-1/4,6 3 4,0:58.58,24,
5,4,HAPPY SOUND,C Wong,C Fownes,122,1164,5,2-3/4,2 2 5,0:58.68,5.2,
6,2,HONG KONG'S FOLKS,C Schofield,C W Chang,130,1147,9,3-1/2,5 6 6,0:58.78,33,
7,3,KEEP GOING,M F Poon,Y S Tsui,127,1038,8,3-3/4,10 11 7,0:58.82,22,
8,6,SURE SUPREME,M L Yeung,W Y So,122,1091,3,4,8 9 8,0:58.87,70,
9,11,FIRST BEAUT,J Moreira,K W Lui,115,1131,7,4-1/4,1 1 9,0:58.90,2.9,
10,8,HAPPY OUT THERE,K Teetan,C W Chang,116,1102,4,5-1/4,7 7 10,0:59.08,12,
11,7,TRENDIFUL,K C Leung,K H Ting,124,1149,11,12-1/4,3 5 11,1:00.20,6.4,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,1,MANFUL STAR,U Rispoli,P F Yiu,133,1134,1,-,11 10 1,0:58.22,6.1,
2,9,PADDINGTON,A Badel,W Y So,116,1126,10,1-1/2,4 4 2,0:58.48,9.7,
3,5,MASSIVE MOVE,H T Mo,L Ho,124,1090,6,2,9 8 3,0:58.56,19,
4,10,RUGBY DIAMOND,M Chadwick,R Gibson,116,1068,2,2-1/4,6 3 4,0:58.58,24,
5,4,HAPPY SOUND,C Wong,C Fownes,122,1164,5,2-3/4,2 2 5,0:58.68,5.2,
6,2,HONG KONG'S FOLKS,C Schofield,C W Chang,130,1147,9,3-1/2,5 6 6,0:58.78,33,
7,3,KEEP GOING,M F Poon,Y S Tsui,127,1038,8,3-3/4,10 11 7,0:58.82,22,
8,6,SURE SUPREME,M L Yeung,W Y So,122,1091,3,4,8 9 8,0:58.87,70,
9,11,FIRST BEAUT,J Moreira,K W Lui,115,1131,7,4-1/4,1 1 9,0:58.90,2.9,
10,8,HAPPY OUT THERE,K Teetan,C W Chang,116,1102,4,5-1/4,7 7 10,0:59.08,12,
11,7,TRENDIFUL,K C Leung,K H Ting,124,1149,11,12-1/4,3 5 11,1:00.20,6.4,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,1,MANFUL STAR,U Rispoli,P F Yiu,133,1134,1,-,11 10 1,0:58.22,6.1,
2,9,PADDINGTON,A Badel,W Y So,116,1126,10,1-1/2,4 4 2,0:58.48,9.7,
3,5,MASSIVE MOVE,H T Mo,L Ho,124,1090,6,2,9 8 3,0:58.56,19,
4,10,RUGBY DIAMOND,M Chadwick,R Gibson,116,1068,2,2-1/4,6 3 4,0:58.58,24,
5,4,HAPPY SOUND,C Wong,C Fownes,122,1164,5,2-3/4,2 2 5,0:58.68,5.2,
6,2,HONG KONG'S FOLKS,C Schofield,C W Chang,130,1147,9,3-1/2,5 6 6,0:58.78,33,
7,3,KEEP GOING,M F Poon,Y S Tsui,127,1038,8,3-3/4,10 11 7,0:58.82,22,
8,6,SURE SUPREME,M L Yeung,W Y So,122,1091,3,4,8 9 8,0:58.87,70,
9,11,FIRST BEAUT,J Moreira,K W Lui,115,1131,7,4-1/4,1 1 9,0:58.90,2.9,
10,8,HAPPY OUT THERE,K Teetan,C W Chang,116,1102,4,5-1/4,7 7 10,0:59.08,12,
11,7,TRENDIFUL,K C Leung,K H Ting,124,1149,11,12-1/4,3 5 11,1:00.20,6.4,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,1,MANFUL STAR,U Rispoli,P F Yiu,133,1134,1,-,11 10 1,0:58.22,6.1,
2,9,PADDINGTON,A Badel,W Y So,116,1126,10,1-1/2,4 4 2,0:58.48,9.7,
3,5,MASSIVE MOVE,H T Mo,L Ho,124,1090,6,2,9 8 3,0:58.56,19,
4,10,RUGBY DIAMOND,M Chadwick,R Gibson,116,1068,2,2-1/4,6 3 4,0:58.58,24,
5,4,HAPPY SOUND,C Wong,C Fownes,122,1164,5,2-3/4,2 2 5,0:58.68,5.2,
6,2,HONG KONG'S FOLKS,C Schofield,C W Chang,130,1147,9,3-1/2,5 6 6,0:58.78,33,
7,3,KEEP GOING,M F Poon,Y S Tsui,127,1038,8,3-3/4,10 11 7,0:58.82,22,
8,6,SURE SUPREME,M L Yeung,W Y So,122,1091,3,4,8 9 8,0:58.87,70,
