1
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
2
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
3
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
4
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
5
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
6
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
7
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
8
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
9
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
10
Plc.,Horse No.,Horse,Jockey,Trainer,Actual Wt.,Declar. Horse Wt.,Draw,LBW,RunningPosition,Finish Time,Win Odds,
1,3,HO HO FEEL,M F Poon,C H Yip,125,1166,10,-,10 7 7 7 1,2:02.22,10,
2,10,HAPPY ROCKY,M L Yeung,C W Chang,114,1098,6,2-3/4,7 5 5 5 2,2:02.66,36,
3,9,LE PANACHE,D Whyte,T P Yung,117,1097,5,2-3/4,8 10 10 8 3,2:02.67,2.5,
4,7,PO CHING TREASURE,C Y Ho,C Fownes,119,1088,8,3-1/2,9 9 9 10 4,2:02.79,20,
5,1,GOOD DAYS,Z Purton,C S Shum,133,1118,2,5-1/2,6 8 8 9 5,2:03.11,4.8,
6,2,KING OF MONGOLIA,N Callan,R Gibson,133,1114,7,6-1/2,5 6 6 6 6,2:03.27,37,
7,8,ROMANTIC JOURNEY,M Chadwick,K H Ting,121,1074,1,7-1/2,1 1 1 1 7,2:03.40,18,
8,4,GENERAL DINO,K Teetan,D E Ferraris,129,1043,9,8-1/2,3 4 4 2 8,2:03.60,22,
9,6,FULL OF CHANCES,U Rispoli,T P Yung,126,1066,3,11,4 3 3 3 9,2:03.97,5,
10,5,MIDNITE PROMISE,K C Leung,F C Lor,128,1052,4,25-1/2,2 2 2 4 10,2:06.29,8.9,
